@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
1,0,0,640,105,23,0,15,0,0.00,0.00
0,0,0,150,26,0,0,4,0,0.00,0.00
0,0,0,125,12,0,0,4,1,0.00,0.00
0,0,0,107,10,1,0,7,0,0.00,0.00
0,3,0,5465,369,33,27,10,0,0.00,0.00
0,0,0,159,58,2,0,13,1,0.00,0.00
1,5,1,92,116,7,0,10,0,0.00,0.00
0,1,0,14,26,6,0,0,0,0.00,0.00
0,0,0,9,129,0,0,46,0,0.00,0.00
1,2,1,42,67,9,0,22,2,0.00,0.00
0,3,4,1336,396,117,0,5,0,0.00,0.00
1,0,0,616,77,7,0,22,0,0.00,0.00
1,1,0,572,74,6,0,8,0,0.00,0.00
1,9,13,1643,401,32,0,47,3,0.00,0.00
0,1,0,193,76,4,0,11,0,0.00,0.00
0,0,0,3155,278,7,0,0,0,0.00,0.00
1,0,0,0,0,0,0,0,0,0.00,0.00
0,1,0,13,139,10,0,0,0,0.00,0.00
0,2,3,531,1306,86,0,73,15,0.00,0.00
0,3,0,153,81,3,0,15,1,0.00,0.00
0,0,0,65,14,0,0,8,0,0.00,0.00
0,0,0,542,364,19,0,5,0,0.00,0.00
0,0,0,2021,263,21,0,20,1,0.00,0.00
1,0,0,1398,259,12,1,120,0,0.00,0.00
1,0,0,270,82,6,0,2,0,0.00,0.00
1,0,0,553,33,1,0,37,1,0.00,0.00
1,2,0,1078,228,12,0,27,0,0.00,0.00
0,3,0,48,165,19,0,30,5,0.00,0.00
0,0,0,301,37,3,0,14,0,0.00,0.00
3,4,3,2424,116,3,0,14,1,0.00,0.00
0,0,0,90,327,14,0,2,0,0.00,0.00
0,0,0,195,43,2,0,6,0,0.00,0.00
0,0,0,3993,150,6,0,2,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,28,1,0,0,1,0,0.00,0.00
1,1,0,807,316,46,0,38,2,0.00,0.00
0,3,0,12,14,0,0,8,3,0.00,0.00
0,3,0,685,204,32,0,32,1,0.00,0.00
2,5,3,597,108,6,0,43,1,0.00,0.00
0,2,0,2267,249,16,0,43,0,0.00,0.00
0,0,0,896,63,3,0,15,2,0.00,0.00
1,1,6,928,97,5,0,1,0,0.00,0.00
